"ID","word","total"
412,"because",110
413,"couple",110
414,"mad",110
415,"kiss",109
416,"pay",109
417,"rock",109
418,"house",108
419,"phone",108
420,"pick",108
421,"doin",107
422,"e",107
423,"forever",107
424,"un",107
425,"town",106
426,"whip",106
427,"en",105
428,"song",105
429,"stick",105
430,"black",104
431,"city",104
432,"dark",103
433,"comes",102
434,"playin",102
435,"ridin",102
436,"saw",102
437,"caught",101
438,"friend",101
439,"roll",101
440,"sayin",101
441,"street",101
442,"you'd",101
443,"comin",100
444,"coupe",100
445,"knows",100
446,"somethin",100
447,"sweet",100
448,"cut",99
449,"different",99
450,"million",99
451,"since",99
452,"year",99
453,"already",98
454,"once",98
455,"save",98
456,"white",98
457,"wrist",98
458,"yes",98
459,"drive",97
460,"ha",97
461,"lonely",97
462,"cool",96
463,"deep",96
464,"floating",96
465,"murder",96
466,"tired",96
467,"true",96
468,"type",96
469,"eat",95
470,"fine",95
471,"free",95
472,"lord",95
473,"front",94
474,"pray",94
475,"shot",94
476,"streets",94
477,"wasn't",94
478,"21",93
479,"bit",93
480,"livin",93
481,"together",93
482,"block",92
483,"ella",92
484,"lights",92
485,"matter",92
486,"ring",92
487,"slow",92
488,"both",91
489,"floor",91
490,"found",91
491,"hop",91
492,"mmh",91
493,"soon",91
494,"thank",91
495,"thinkin",91
496,"bro",90
497,"si",90
498,"bed",89
499,"fucking",89
500,"pretty",89
501,"scared",89
502,"trippin",89
503,"turned",89
504,"beautiful",88
505,"help",88
506,"six",88
507,"sure",88
508,"brain",87
509,"ask",86
510,"buy",86
511,"heaven",86
512,"price",86
513,"promise",86
514,"quiet",86
515,"under",86
516,"yeh",86
517,"party",85
518,"hoo",84
519,"lit",84
520,"nights",84
521,"sing",84
522,"tried",84
523,"far",83
524,"hurt",83
525,"power",83
526,"wake",83
527,"burn",82
528,"fly",82
529,"until",82
530,"cry",81
531,"freak",81
532,"blow",80
533,"girls",80
534,"living",80
535,"waitin",80
536,"kinda",79
537,"qué",79
538,"shake",79
539,"thousand",79
540,"truth",79
541,"couldn't",78
542,"full",78
543,"hmm",78
544,"rain",78
545,"shine",78
546,"stand",78
547,"any",77
548,"feet",77
549,"gold",77
550,"jet",77
551,"running",77
552,"send",77
553,"sky",77
554,"those",77
555,"you've",77
556,"ding",76
557,"rather",76
558,"chain",75
559,"drink",75
560,"half",75
561,"jump",75
562,"perfect",75
563,"space",75
564,"vibe",75
565,"boss",74
566,"daddy",74
567,"double",74
568,"hello",74
569,"past",74
570,"tears",74
571,"wanted",74
572,"act",73
573,"actin",73
574,"brand",73
575,"cannot",73
576,"cross",73
577,"ran",73
578,"boys",72
579,"dip",72
580,"feelings",72
581,"glock",72
582,"happy",72
583,"morning",72
584,"outta",72
585,"treat",72
586,"wonder",72
587,"wouldn't",72
588,"deal",71
589,"falling",71
590,"feels",71
591,"le",71
592,"making",71
593,"stupid",71
594,"blame",70
595,"club",70
596,"fake",70
597,"we'll",70
598,"count",69
599,"dawg",69
600,"hallelujah",69
601,"hide",69
602,"kids",69
603,"outside",69
604,"sad",69
605,"star",69
606,"con",68
607,"control",68
608,"lies",68
609,"met",68
610,"quiere",68
611,"behind",67
612,"dirty",67
613,"shots",67
614,"sip",67
615,"started",67
616,"uzi",67
617,"wave",67
618,NA,67
619,"air",66
620,"country",66
621,"dumb",66
622,"looking",66
623,"makin",66
624,"meet",66
625,"step",66
626,"stuck",66
627,"sun",66
628,"being",65
629,"cap",65
630,"jealous",65
631,"loved",65
632,"single",65
633,"sound",65
634,"thang",65
635,"today",65
636,"waiting",65
637,"worth",65
638,"bet",64
639,"cup",64
640,"dream",64
641,"dreams",64
642,"fun",64
643,"girlfriend",64
644,"safe",64
645,"sit",64
646,"wear",64
647,"lips",63
648,"most",63
649,"set",63
650,"songs",63
651,"summer",63
652,"truck",63
653,"bottom",62
654,"he's",62
655,"kind",62
656,"reason",62
657,"sometimes",62
658,"spend",62
659,"talking",62
660,"bank",61
661,"fool",61
662,"gucci",61
663,"lately",61
664,"motherfuckin",61
665,"shut",61
666,"slime",61
667,"drinkin",60
668,"hood",60
669,"lick",60
670,"middle",60
671,"movin",60
672,"arms",59
673,"como",59
674,"facts",59
675,"goes",59
676,"goodbye",59
677,"jeans",59
678,"minute",59
679,"nice",59
680,"rap",59
681,"between",58
682,"drunk",58
683,"fight",58
684,"lay",58
685,"skin",58
686,"takin",58
687,"blah",57
688,"broken",57
689,"calling",57
690,"es",57
691,"guy",57
692,"listen",57
693,"part",57
694,"school",57
695,"their",57
696,"they're",57
697,"uah",57
698,"vibes",57
699,"wild",57
700,"doing",56
701,"está",56
702,"felt",56
703,"gas",56
704,"hair",56
705,"ma",56
706,"paid",56
707,"ta",56
708,"years",56
709,"yourself",56
710,"bang",55
711,"blood",55
712,"knock",55
713,"louis",55
714,"moment",55
715,"mouth",55
716,"none",55
717,"push",55
718,"ruin",55
719,"spent",55
720,"ball",54
721,"boom",54
722,"does",54
723,"lied",54
724,"music",54
725,"sé",54
726,"win",54
727,"diamond",53
728,"dope",53
729,"drugs",53
730,"fifty",53
731,"poppin",53
732,"savage",53
733,"trap",53
734,"wow",53
735,"brother",52
736,"golden",52
737,"jingle",52
738,"lean",52
739,"tellin",52
740,"thinking",52
741,"trip",52
742,"bow",51
743,"dress",51
744,"easy",51
745,"mi",51
746,"nose",51
747,"rack",51
748,"tight",51
749,"toes",51
750,"we've",51
751,"word",51
752,"dancing",50
753,"doesn't",50
754,"g",50
755,"heat",50
756,"k",50
757,"lock",50
758,"por",50
759,"quick",50
760,"rodeo",50
761,"track",50
762,"afraid",49
763,"alive",49
764,"ap",49
765,"favorite",49
766,"needed",49
767,"pack",49
768,"prolly",49
769,"rollin",49
770,"screamin",49
771,"sippin",49
772,"spot",49
773,"ti",49
774,"anymore",48
775,"bar",48
776,"benz",48
777,"called",48
778,"cost",48
779,"d",48
780,"fore",48
781,"hang",48
782,"kick",48
783,"paper",48
784,"surf",48
785,"switch",48
786,"t",48
787,"against",47
788,"doors",47
789,"each",47
790,"finna",47
791,"gets",47
792,"juice",47
793,"nowhere",47
794,"o",47
795,"quit",47
796,"sense",47
797,"shows",47
798,"whatever",47
799,"brrt",46
800,"died",46
801,"opps",46
802,"park",46
803,"point",46
804,"shirt",46
805,"twenty",46
806,"understand",46
807,"bae",45
808,"bien",45
809,"brr",45
810,"cop",45
811,"crib",45
812,"earth",45
813,"foreign",45
814,"games",45
815,"locked",45
816,"pass",45
817,"pocket",45
818,"rollie",45
819,"seem",45
820,"sell",45
821,"stars",45
822,"sugar",45
823,"suicide",45
824,"thirty",45
825,"war",45
826,"almost",44
827,"cardi",44
828,"chanel",44
829,"chase",44
830,"daylight",44
831,"drippin",44
832,"family",44
833,"few",44
834,"foot",44
835,"ground",44
836,"guys",44
837,"land",44
838,"loud",44
839,"meant",44
840,"news",44
841,"pants",44
842,"pulled",44
843,"rest",44
844,"rolls",44
845,"speed",44
846,"such",44
847,"trying",44
848,"tu",44
849,"b",43
850,"changed",43
851,"chopper",43
852,"dangerous",43
853,"devil",43
854,"dime",43
855,"fact",43
856,"fallin",43
857,"fill",43
858,"imagine",43
859,"mami",43
860,"quiero",43
861,"sauce",43
862,"suck",43
863,"waste",43
864,"week",43
865,"yours",43
866,"bigger",42
867,"breathin",42
868,"bye",42
869,"clear",42
