"ID","word","total"
3094,"blank",7
3095,"blazin",7
3096,"blocka",7
3097,"blocks",7
3098,"blueberry",7
3099,"blueface",7
3100,"blues",7
3101,"bowl",7
3102,"bucket",7
3103,"bull",7
3104,"buried",7
3105,"butter",7
3106,"cardigan",7
3107,"careful",7
3108,"carried",7
3109,"casa",7
3110,"changes",7
3111,"cheapest",7
3112,"checkin",7
3113,"chef",7
3114,"chew",7
3115,"chicks",7
3116,"claiming",7
3117,"cleanse",7
3118,"cloud",7
3119,"clown",7
3120,"clyde",7
3121,"coats",7
3122,"cockpit",7
3123,"cojone",7
3124,"cologne",7
3125,"condom",7
3126,"confinement",7
3127,"contact",7
3128,"contagious",7
3129,"corazón",7
3130,"covers",7
3131,"creepin",7
3132,"crippin",7
3133,"crooked",7
3134,"cruisin",7
3135,"cuenta",7
3136,"curb",7
3137,"dababy",7
3138,"damage",7
3139,"darkest",7
3140,"daytrip",7
3141,"dealin",7
3142,"debt",7
3143,"defined",7
3144,"distant",7
3145,"dizzy",7
3146,"doctors",7
3147,"dot",7
3148,"drippy",7
3149,"driver",7
3150,"driveway",7
3151,"du",7
3152,"dunk",7
3153,"ear",7
3154,"earned",7
3155,"elliot",7
3156,"everythin",7
3157,"ew",7
3158,"except",7
3159,"fallé",7
3160,"familiar",7
3161,"felicidad",7
3162,"fifties",7
3163,"fired",7
3164,"flawless",7
3165,"flexing",7
3166,"flipped",7
3167,"floss",7
3168,"fn",7
3169,"football",7
3170,"ford",7
3171,"form",7
3172,"foul",7
3173,"friendly",7
3174,"frown",7
3175,"fuera",7
3176,"g.i",7
3177,"genie",7
3178,"george",7
3179,"ghini",7
3180,"givenchy",7
3181,"goodnight",7
3182,"goose",7
3183,"goza",7
3184,"graveyard",7
3185,"groove",7
3186,"group",7
3187,"haa",7
3188,"handstand",7
3189,"hangover",7
3190,"happens",7
3191,"hater",7
3192,"health",7
3193,"heaven's",7
3194,"heel",7
3195,"hiding",7
3196,"hitters",7
3197,"hol",7
3198,"hug",7
3199,"hunnids",7
3200,"husband",7
3201,"hypebeast",7
3202,"independent",7
3203,"insecure",7
3204,"invite",7
3205,"island",7
3206,"jakes",7
3207,"jetson",7
3208,"jim",7
3209,"join",7
3210,"joyner",7
3211,"jungle",7
3212,"keanu",7
3213,"kills",7
3214,"kinfolks",7
3215,"ladies",7
3216,"laid",7
3217,"league",7
3218,"lebron",7
3219,"legit",7
3220,"lemon",7
3221,"lens",7
3222,"lifetime",7
3223,"lived",7
3224,"loan",7
3225,"lows",7
3226,"lurking",7
3227,"man's",7
3228,"matters",7
3229,"meds",7
3230,"menea",7
3231,"message",7
3232,"minimum",7
3233,"monopoly",7
3234,"mop",7
3235,"movies",7
3236,"murderer",7
3237,"naive",7
3238,"nba",7
3239,"nem",7
3240,"nines",7
3241,"nle",7
3242,"nominated",7
3243,"nothing's",7
3244,"nuestro",7
3245,"often",7
3246,"olvida'o",7
3247,"ordered",7
3248,"ostrich",7
3249,"ours",7
3250,"overtime",7
3251,"ozuna",7
3252,"packs",7
3253,"panty",7
3254,"paparazzi",7
3255,"partners",7
3256,"peanut",7
3257,"peep",7
3258,"perc",7
3259,"percent",7
3260,"personalities",7
3261,"phantom",7
3262,"phew",7
3263,"photos",7
3264,"piel",7
3265,"pillow",7
3266,"pitching",7
3267,"pointers",7
3268,"poles",7
3269,"pone",7
3270,"pounds",7
3271,"precious",7
3272,"precise",7
3273,"prende",7
3274,"presents",7
3275,"pretending",7
3276,"prey",7
3277,"product",7
3278,"próspero",7
3279,"punch",7
3280,"quicker",7
3281,"quién",7
3282,"quieres",7
3283,"rainbow",7
3284,"rains",7
3285,"rase",7
3286,"reality",7
3287,"realized",7
3288,"recipe",7
3289,"reckless",7
3290,"reeves",7
3291,"refuse",7
3292,"relaxing",7
3293,"rolex",7
3294,"rope",7
3295,"rot",7
3296,"rumba",7
3297,"rumor",7
3298,"sally",7
3299,"salon",7
3300,"scarred",7
3301,"screaming",7
3302,"sean",7
3303,"searchin",7
3304,"servin",7
3305,"shallow",7
3306,"sharks",7
3307,"shatter",7
3308,"sheet",7
3309,"shook",7
3310,"shottas",7
3311,"sí",7
3312,"sideways",7
3313,"siento",7
3314,"size",7
3315,"skip",7
3316,"skrr",7
3317,"sky's",7
3318,"smoked",7
3319,"sneaking",7
3320,"someone's",7
3321,"spare",7
3322,"spark",7
3323,"speaker",7
3324,"spell",7
3325,"splashin",7
3326,"spoke",7
3327,"stall",7
3328,"stamp",7
3329,"stare",7
3330,"staying",7
3331,"steps",7
3332,"still'll",7
3333,"styrofoam",7
3334,"survive",7
3335,"switching",7
3336,"tangerine",7
3337,"target",7
3338,"tattoos",7
3339,"tech",7
3340,"tennis",7
3341,"thighs",7
3342,"thousands",7
3343,"tiempo",7
3344,"tighter",7
3345,"tings",7
3346,"todo",7
3347,"toting",7
3348,"trato",7
3349,"tricks",7
3350,"triggers",7
3351,"triple",7
3352,"tripping",7
3353,"tus",7
3354,"typo",7
3355,"uncles",7
3356,"underdog",7
3357,"upset",7
3358,"valentine",7
3359,"vamo",7
3360,"venom",7
3361,"victory",7
3362,"virgil",7
3363,"vo'a",7
3364,"vuelvo",7
3365,"vuitton",7
3366,"wade",7
3367,"waking",7
3368,"wasted",7
3369,"weakness",7
3370,"wears",7
3371,"whispered",7
3372,"willing",7
3373,"wings",7
3374,"winning",7
3375,"wood",7
3376,"xannies",7
3377,"yacht",7
3378,"youngblood",7
3379,"zoo",7
3380,"가까이",7
3381,"가져와",7
3382,"걸",7
3383,"나의",7
3384,"너",7
3385,"너의",7
3386,"다",7
3387,"돼",7
3388,"두",7
3389,"이",7
3390,"4l",6
3391,"accept",6
3392,"aggressive",6
3393,"amount",6
3394,"aparece",6
3395,"app",6
3396,"armor",6
3397,"aside",6
3398,"asshole",6
3399,"athlete",6
3400,"atrevida",6
3401,"avoid",6
3402,"ba",6
3403,"backend",6
3404,"backseat",6
3405,"baggage",6
3406,"bagged",6
3407,"bandana",6
3408,"banned",6
3409,"bare",6
3410,"barrel",6
3411,"basic",6
3412,"beatin",6
3413,"bebida",6
3414,"belly",6
3415,"benny",6
3416,"bent",6
3417,"biggie",6
3418,"bike",6
3419,"bla",6
3420,"blat",6
3421,"bled",6
3422,"bloody",6
3423,"blowed",6
3424,"bluebird",6
3425,"bob",6
3426,"body's",6
3427,"bold",6
3428,"bom",6
3429,"booked",6
3430,"booth",6
3431,"boring",6
3432,"breakfast",6
3433,"breathing",6
3434,"bronx",6
3435,"bud",6
3436,"buffalo",6
3437,"bugatti",6
3438,"burglar",6
3439,"calle",6
3440,"canada",6
3441,"cape",6
3442,"caring",6
3443,"cartiers",6
3444,"cases",6
3445,"challenge",6
3446,"chandelier",6
3447,"changing",6
3448,"charm",6
3449,"chauffeur",6
3450,"cheatin",6
3451,"cheats",6
3452,"cheer",6
3453,"chin",6
3454,"choo",6
3455,"chopped",6
3456,"chris",6
3457,"clever",6
3458,"clone",6
3459,"collect",6
3460,"combat",6
3461,"comme",6
3462,"complaining",6
3463,"complete",6
3464,"conversations",6
3465,"coo",6
3466,"copped",6
3467,"coppin",6
3468,"corillo",6
3469,"cotton",6
3470,"counting",6
3471,"coupes",6
3472,"created",6
3473,"cries",6
3474,"crystal",6
3475,"cuttin",6
3476,"cuz",6
3477,"d.a",6
3478,"d'you",6
3479,"dada",6
3480,"daddy's",6
3481,"david",6
3482,"deadly",6
3483,"deceive",6
3484,"decimals",6
3485,"decisión",6
3486,"define",6
3487,"del",6
3488,"delay",6
3489,"diddy",6
3490,"diga",6
3491,"digging",6
3492,"dios",6
3493,"direction",6
3494,"dirtied",6
3495,"dish",6
3496,"ditch",6
3497,"dixie",6
3498,"doll",6
3499,"doubled",6
3500,"drawers",6
3501,"drew",6
3502,"dripped",6
3503,"drizzy",6
3504,"drowning",6
3505,"dusty",6
3506,"dy",6
3507,"early",6
3508,"earrings",6
3509,"easily",6
3510,"edition",6
3511,"eighteen",6
3512,"emotion",6
3513,"enteran",6
3514,"envolverme",6
3515,"existed",6
3516,"explicarte",6
3517,"exposed",6
3518,"facing",6
3519,"fading",6
3520,"faking",6
3521,"farm",6
3522,"faster",6
3523,"fastest",6
3524,"faucet",6
3525,"favor",6
3526,"fence",6
3527,"fifteen",6
3528,"fighter",6
3529,"fights",6
3530,"flute",6
3531,"flyest",6
3532,"foolish",6
3533,"frames",6
3534,"freeway",6
3535,"frozen",6
3536,"fucks",6
3537,"fuma",6
3538,"g's",6
3539,"gee",6
3540,"goat",6
3541,"godzilla",6
3542,"goodies",6
3543,"goofy",6
3544,"gosh",6
3545,"gossip",6
3546,"gozándose",6
3547,"grandmama",6
3548,"gray",6
3549,"grieve",6
3550,"guala",6
3551,"gunfight",6
3552,"gusta",6
3553,"había",6
3554,"halfway",6
3555,"hawk",6
3556,"hd",6
3557,"hearted",6
3558,"henn",6
3559,"hers",6
3560,"holes",6
3561,"holla",6
3562,"homicide",6
3563,"hook",6
3564,"hopefully",6
3565,"hora",6
3566,"horses",6
3567,"hungry",6
3568,"iced",6
3569,"ignorin",6
3570,"infiel",6
3571,"infinito",6
3572,"innocent",6
3573,"ja",6
3574,"japan",6
3575,"jewish",6
3576,"jiggy",6
3577,"joder",6
3578,"jordan",6
3579,"karma",6
3580,"kentucky",6
3581,"kiddin",6
3582,"kit",6
3583,"kitty",6
3584,"kobe",6
3585,"kwa",6
3586,"lack",6
3587,"lalala",6
3588,"lalalala",6
3589,"learning",6
3590,"led",6
3591,"leggo",6
3592,"levels",6
3593,"likely",6
3594,"link",6
3595,"lipstick",6
3596,"llamando",6
3597,"llamar",6
3598,"loco",6
3599,"longneck",6
3600,"lucifer",6
3601,"lunch",6
3602,"lungs",6
3603,"lyrics",6
3604,"marathon",6
3605,"margiela",6
3606,"marry",6
3607,"marsh",6
3608,"masterpiece",6
3609,"matrix",6
3610,"meeting",6
3611,"mejor",6
3612,"merece",6
3613,"misma",6
3614,"mobile",6
3615,"mother's",6
3616,"mountain",6
3617,"moved",6
3618,"mulsanne",6
3619,"mustard",6
3620,"napkin",6
3621,"nappy",6
3622,"nawf",6
3623,"neighbors",6
3624,"ninety",6
3625,"noon",6
3626,"nosotro",6
3627,"odds",6
3628,"offended",6
3629,"oil",6
3630,"ool",6
3631,"oops",6
3632,"opposite",6
3633,"osama",6
3634,"otro",6
3635,"outstanding",6
3636,"partner",6
3637,"party's",6
3638,"peek",6
3639,"penny",6
3640,"peppermint",6
3641,"phones",6
3642,"pichaba",6
3643,"pickup",6
3644,"pimpin",6
3645,"planned",6
3646,"playa",6
3647,"plottin",6
3648,"plump",6
3649,"poison",6
3650,"polo",6
3651,"pooh",6
3652,"poverty",6
3653,"praise",6
3654,"present",6
3655,"pressin",6
3656,"prissy",6
3657,"promethazine",6
3658,"promises",6
3659,"protection",6
3660,"puedo",6
3661,"punches",6
3662,"purse",6
3663,"pushin",6
3664,"pusieron",6
3665,"quavo",6
3666,"quickly",6
3667,"quitter",6
3668,"rags",6
3669,"raps",6
3670,"rate",6
3671,"rats",6
3672,"react",6
3673,"realest",6
3674,"rear",6
3675,"reflection",6
3676,"regretted",6
3677,"relations",6
3678,"remain",6
3679,"remix",6
3680,"replay",6
3681,"rescued",6
3682,"rims",6
3683,"roadkill",6
3684,"rocking",6
3685,"rode",6
3686,"santa's",6
3687,"savin",6
3688,"screw",6
3689,"screwed",6
3690,"seams",6
3691,"searching",6
3692,"sémarihuana",6
3693,"señorita",6
3694,"serve",6
3695,"seventeen",6
3696,"shadow",6
3697,"shadows",6
3698,"shakin",6
3699,"sheck",6
3700,"sheesh",6
3701,"sheneneh",6
3702,"shore",6
3703,"shove",6
3704,"showin",6
3705,"sigue",6
3706,"ski",6
3707,"skipped",6
3708,"slam",6
3709,"slangin",6
3710,"slaughter",6
3711,"slimy",6
3712,"slugs",6
3713,"smithfield",6
3714,"snap",6
3715,"snare",6
3716,"soak",6
3717,"social",6
3718,"sólo",6
3719,"spanish",6
3720,"spilled",6
3721,"spinning",6
3722,"spoil",6
3723,"st",6
3724,"stackin",6
3725,"stacks",6
3726,"stalkin",6
3727,"stank",6
3728,"states",6
3729,"status",6
3730,"stealin",6
3731,"stepped",6
3732,"stomp",6
3733,"stones",6
3734,"stops",6
3735,"stressin",6
3736,"stride",6
3737,"strike",6
3738,"stuffed",6
3739,"suge",6
3740,"sundown",6
3741,"sunny",6
3742,"sunset",6
3743,"supreme",6
3744,"surrounded",6
3745,"tá",6
3746,"taken",6
3747,"tank",6
3748,"teachers",6
3749,"teams",6
3750,"tequila",6
3751,"terrified",6
3752,"texas",6
3753,"they've",6
3754,"thigh",6
3755,"thong",6
3756,"thugs",6
3757,"tint",6
3758,"tommy",6
3759,"tools",6
3760,"tooth",6
3761,"torn",6
3762,"touching",6
3763,"tourin",6
3764,"toys",6
3765,"traje",6
3766,"trapped",6
3767,"trials",6
3768,"trick",6
3769,"trophy",6
3770,"truly",6
3771,"trunk",6
3772,"twins",6
3773,"uishi",6
3774,"última",6
3775,"ups",6
3776,"upstairs",6
3777,"urn",6
3778,"veo",6
3779,"versace",6
3780,"vine",6
3781,"violets",6
3782,"vuelve",6
3783,"wack",6
3784,"wage",6
3785,"wand",6
3786,"washed",6
3787,"watched",6
3788,"weigh",6
3789,"wes",6
3790,"wha",6
3791,"whips",6
3792,"within",6
3793,"witness",6
3794,"wreckage",6
3795,"youngins",6
3796,"yung",6
3797,"거야",6
3798,"게",6
3799,"내게",6
3800,"눈을",6
3801,"또",6
3802,"싶어",6
3803,"아니면",6
3804,"に",6
3805,"13",5
3806,"2020",5
3807,"800",5
3808,"abajo",5
3809,"abandoned",5
3810,"abel",5
3811,"acá",5
3812,"accent",5
3813,"accountant",5
3814,"adam",5
3815,"adderall",5
3816,"addictive",5
3817,"adrenaline",5
3818,"aisle",5
3819,"algún",5
3820,"ali",5
3821,"almighty",5
3822,"amar",5
3823,"amas",5
3824,"amazin",5
3825,"angles",5
3826,"appetite",5
3827,"applause",5
3828,"apple",5
3829,"appreciate",5
3830,"armed",5
3831,"asesina",5
3832,"asset",5
3833,"atl",5
3834,"atlantic",5
3835,"aware",5
3836,"badder",5
3837,"báilame",5
3838,"bailamo",5
3839,"bailar",5
3840,"baja",5
3841,"balloons",5
3842,"bangin",5
3843,"bath",5
3844,"batman",5
3845,"bean",5
3846,"bebecita",5
3847,"beds",5
3848,"beefing",5
3849,"bees",5
3850,"began",5
3851,"begging",5
3852,"begin",5
3853,"begun",5
3854,"below",5
3855,"benefits",5
3856,"benjamin",5
3857,"benjis",5
3858,"bentleys",5
3859,"besamo",5
3860,"bih",5
3861,"blaming",5
3862,"bleeds",5
3863,"blindly",5
3864,"blockin",5
3865,"blowing",5
3866,"blunts",5
3867,"board",5
3868,"bobo",5
3869,"boop",5
3870,"brag",5
3871,"budget",5
3872,"buena",5
3873,"bumpin",5
3874,"burner",5
3875,"cadillac",5
3876,"cambió",5
3877,"camera",5
3878,"cashed",5
3879,"ceo",5
3880,"cha",5
3881,"chameleon",5
3882,"chapter",5
3883,"chardonnay",5
3884,"charges",5
3885,"chess",5
3886,"chickens",5
3887,"china",5
3888,"chips",5
3889,"choker",5
3890,"chopstick",5
3891,"clappin",5
3892,"clips",5
3893,"closin",5
3894,"clowns",5
3895,"cocked",5
3896,"comments",5
3897,"commit",5
3898,"company",5
3899,"competition",5
3900,"complications",5
3901,"confess",5
3902,"connect",5
3903,"conozco",5
3904,"continue",5
3905,"cooked",5
3906,"county",5
3907,"crackers",5
3908,"crackin",5
3909,"crawl",5
3910,"cree",5
3911,"creeping",5
3912,"crip",5
3913,"crocodile",5
3914,"crowded",5
3915,"cruise",5
3916,"cure",5
3917,"curtains",5
3918,"curve",5
3919,"darkskin",5
3920,"daydreams",5
3921,"debate",5
3922,"deceased",5
3923,"dedicate",5
3924,"defense",5
3925,"dejó",5
3926,"dem",5
3927,"demos",5
3928,"depends",5
3929,"des",5
3930,"destined",5
3931,"destiny",5
3932,"digits",5
3933,"diors",5
3934,"dms",5
3935,"dock",5
3936,"dodging",5
3937,"donuts",5
3938,"dracos",5
3939,"dracula",5
3940,"drake",5
3941,"drawin",5
3942,"dreads",5
3943,"dresser",5
3944,"drill",5
3945,"dues",5
3946,"duffle",5
3947,"eem",5
3948,"eliantte",5
3949,"elvis",5
3950,"enjoy",5
3951,"enredé",5
3952,"enséñame",5
3953,"equal",5
3954,"espero",5
3955,"eve",5
3956,"exclusive",5
3957,"excuse",5
3958,"exhale",5
3959,"exotic",5
3960,"expected",5
3961,"extraterrestrial",5
3962,"eyed",5
3963,"failure",5
3964,"faygo",5
3965,"fee",5
3966,"fellas",5
3967,"fever",5
3968,"fi",5
3969,"final",5
3970,"finesse",5
3971,"fishin",5
3972,"flames",5
3973,"flowin",5
3974,"flyer",5
3975,"forecast",5
3976,"fought",5
3977,"france",5
3978,"fries",5
3979,"frost",5
3980,"fui",5
3981,"fumar",5
3982,"fumes",5
3983,"gain",5
3984,"galore",5
3985,"gangsta",5
3986,"garage",5
3987,"garçons",5
3988,"garments",5
3989,"gates",5
3990,"glory",5
3991,"goon",5
3992,"goosebumps",5
3993,"gown",5
3994,"grain",5
3995,"grand",5
3996,"grande",5
3997,"grandpa",5
3998,"greedy",5
3999,"grin",5
4000,"grizz",5
4001,"grrr",5
4002,"guide",5
4003,"guíllate",5
4004,"gut",5
4005,"guts",5
4006,"halls",5
4007,"hammer",5
4008,"handsome",5
4009,"handstands",5
4010,"happenin",5
4011,"hardly",5
4012,"hated",5
4013,"hatred",5
4014,"heads",5
4015,"heartbroken",5
4016,"hero",5
4017,"hidin",5
4018,"himself",5
4019,"hoedown",5
4020,"hollow",5
4021,"hollywood",5
4022,"hombre",5
4023,"hookah",5
4024,"hopeless",5
4025,"horny",5
4026,"horoscope",5
4027,"hound",5
4028,"however",5
4029,"hummers",5
4030,"hunt",5
4031,"hussle",5
4032,"iba",5
4033,"ig",5
4034,"igh",5
4035,"ii",5
4036,"image",5
4037,"important",5
4038,"indecisive",5
4039,"ink",5
4040,"innovation",5
4041,"interior",5
4042,"invest",5
4043,"jacob",5
4044,"jewels",5
4045,"jiggas",5
4046,"joint",5
4047,"jones",5
4048,"joy",5
4049,"judgin",5
4050,"juego",5
4051,"kanye",5
4052,"kawasaki",5
4053,"knots",5
4054,"lace",5
4055,"lamb",5
4056,"lasted",5
4057,"layin",5
4058,"legacy",5
4059,"legend",5
4060,"lemme",5
4061,"likin",5
4062,"lion",5
4063,"literally",5
4064,"llegó",5
4065,"llegue",5
4066,"lobby",5
4067,"lockjaw",5
4068,"locks",5
4069,"loop",5
4070,"loser",5
4071,"louboutin",5
4072,"loyalty",5
4073,"luke",5
4074,"lust",5
4075,"magnolia",5
4076,"mala",5
4077,"marijuana",5
4078,"mario",5
4079,"mark",5
4080,"master",5
4081,"matching",5
4082,"mates",5
4083,"meal",5
4084,"meech",5
4085,"menace",5
4086,"middleman",5
4087,"milk",5
4088,"mils",5
4089,"minus",5
4090,"mirrors",5
4091,"mixtape",5
4092,"mojo",5
4093,"moms",5
4094,"moonwalk",5
4095,"moral",5
4096,"mornings",5
4097,"mothers",5
4098,"movements",5
4099,"mundo",5
4100,"needin",5
4101,"nightmares",5
4102,"nod",5
4103,"noose",5
4104,"noticed",5
4105,"nuestra",5
4106,"nuevo",5
4107,"olvidé",5
4108,"opinion",5
4109,"order",5
4110,"ounce",5
4111,"pace",5
4112,"pale",5
4113,"paralyzed",5
4114,"pare",5
4115,"parkin",5
4116,"parts",5
4117,"pasito",5
4118,"pasó",5
4119,"passionate",5
4120,"patiently",5
4121,"peleamo",5
4122,"peor",5
4123,"percocets",5
4124,"percy",5
4125,"personal",5
4126,"pidiendo",5
4127,"pines",5
4128,"pippen",5
4129,"pista",5
4130,"pl",5
4131,"plaques",5
4132,"playlist",5
4133,"plays",5
4134,"ponga",5
4135,"population",5
4136,"porn",5
4137,"pours",5
4138,"prayer",5
4139,"pre",5
4140,"preacher",5
4141,"prefer",5
4142,"prince",5
4143,"privacy",5
4144,"prize",5
4145,"progress",5
4146,"property",5
4147,"pu",5
4148,"puesta",5
4149,"puesto",5
4150,"pumpkin",5
4151,"purses",5
4152,"quote",5
4153,"rage",5
4154,"rainin",5
4155,"rapping",5
4156,"rattle",5
4157,"regardless",5
4158,"release",5
4159,"represent",5
4160,"rescue",5
4161,"reveal",5
4162,"revenge",5
4163,"reverse",5
4164,"ringing",5
4165,"roddy",5
4166,"rumors",5
4167,"runway",5
4168,"rushin",5
4169,"sacrifice",5
4170,"saddle",5
4171,"salí",5
4172,"salty",5
4173,"scarface",5
4174,"scrape",5
4175,"scratch",5
4176,"seasons",5
4177,"sentence",5
4178,"separate",5
4179,"shank",5
4180,"shed",5
4181,"shines",5
4182,"shotgun",5
4183,"shuffle",5
4184,"sights",5
4185,"sinner",5
4186,"sirens",5
4187,"skybox",5
4188,"slayed",5
4189,"slid",5
4190,"smilin",5
4191,"snail",5
4192,"snitchin",5
4193,"sock",5
4194,"softly",5
4195,"soldier",5
4196,"spain",5
4197,"speakers",5
4198,"spittin",5
4199,"square",5
4200,"stains",5
4201,"stalk",5
4202,"stands",5
4203,"starfish",5
4204,"stickin",5
4205,"strait",5
4206,"stu",5
4207,"suavecito",5
4208,"subir",5
4209,"sunlight",5
4210,"superman",5
4211,"superstar",5
4212,"surprised",5
4213,"swap",5
4214,"sweatsuit",5
4215,"sweep",5
4216,"sweetheart",5
4217,"swingin",5
4218,"swings",5
4219,"swoop",5
4220,"system",5
4221,"tatted",5
4222,"tax",5
4223,"taxes",5
4224,"tecca",5
4225,"tendencies",5
4226,"tension",5
4227,"terror",5
4228,"testin",5
4229,"themselves",5
4230,"thief",5
4231,"threesome",5
4232,"thumbin",5
4233,"tick",5
4234,"tightrope",5
4235,"tipsy",5
4236,"titty",5
4237,"toaster",5
4238,"tom",5
4239,"tonta",5
4240,"tony",5
4241,"tossing",5
4242,"touched",5
4243,"tracks",5
4244,"trajo",5
4245,"tre",5
4246,"treatin",5
4247,"trey",5
4248,"tribe",5
4249,"tricked",5
4250,"trippie",5
4251,"troops",5
4252,"tucked",5
4253,"tunechi",5
4254,"twenties",5
4255,"twitter",5
4256,"uh'cause",5
4257,"uncle",5
4258,"unforgettable",5
4259,"ungrateful",5
4260,"urgent",5
4261,"v12",5
4262,"vans",5
4263,"veces",5
4264,"veins",5
4265,"venue",5
4266,"vest",5
4267,"vet",5
4268,"vete",5
4269,"vette",5
4270,"vicio",5
4271,"violent",5
4272,"vodka",5
4273,"volver",5
4274,"vomit",5
4275,"voy",5
4276,"vvs's",5
4277,"walks",5
4278,"wanting",5
4279,"warn",5
4280,"warned",5
4281,"wasting",5
4282,"waving",5
4283,"weddin",5
4284,"weighed",5
4285,"weirdo",5
4286,"westside",5
4287,"whoop",5
4288,"wicked",5
4289,"widow",5
4290,"wifin",5
4291,"wildest",5
4292,"wo",5
4293,"won",5
4294,"wrestle",5
4295,"written",5
4296,"wunna",5
4297,"xo",5
4298,"yellin",5
4299,"yep",5
4300,"yoom",5
4301,"zip",5
4302,"zombie",5
4303,"너무",5
4304,"늘",5
4305,"어떤",5
4306,"한",5
4307,"해",5
4308,"の",5
4309,"10s",4
4310,"14",4
4311,"16",4
4312,"16th",4
4313,"27",4
4314,"38",4
4315,"47",4
4316,"4k",4
4317,"85",4
4318,"abierta",4
4319,"accidents",4
4320,"aces",4
4321,"ache",4
4322,"achoo",4
4323,"actavis",4
4324,"adhd",4
4325,"adjacent",4
4326,"afternoon",4
4327,"aguantando",4
4328,"alabama",4
4329,"aliens",4
4330,"amanecer",4
4331,"amarrá",4
4332,"amaze",4
4333,"ambitions",4
4334,"amiris",4
4335,"ammo",4
4336,"anger",4
4337,"angle",4
4338,"ankle",4
4339,"annoying",4
4340,"answered",4
4341,"antes",4
4342,"anthony",4
4343,"anxiety",4
4344,"apologies",4
4345,"aquella",4
4346,"aquí",4
4347,"arrive",4
4348,"arruino",4
4349,"ascap",4
4350,"assist",4
4351,"atari",4
4352,"atrás",4
4353,"aventador",4
4354,"awkward",4
4355,"b's",4
4356,"backwards",4
4357,"baddie",4
4358,"baila",4
4359,"balencis",4
4360,"balling",4
4361,"bape",4
4362,"bardi",4
4363,"bartender",4
4364,"base",4
4365,"bastard",4
4366,"bebétaki",4
4367,"bedsheets",4
4368,"beefin",4
4369,"beers",4
4370,"behavior",4
4371,"believin",4
4372,"bellaco",4
4373,"belts",4
4374,"bergdorf",4
4375,"bill",4
4376,"bing",4
4377,"bladder",4
4378,"blade",4
4379,"blades",4
4380,"blasted",4
4381,"blastin",4
4382,"blicky",4
4383,"blink",4
4384,"bliss",4
4385,"blows",4
4386,"boarded",4
4387,"boats",4
4388,"bonnie",4
4389,"books",4
4390,"boominati",4
4391,"boosie",4
4392,"borrachos",4
4393,"borré",4
4394,"borrowed",4
4395,"bosses",4
4396,"boyz",4
4397,"brabus",4
4398,"brace",4
4399,"bradley's",4
4400,"breeze",4
4401,"bridge",4
4402,"bringing",4
4403,"bronco",4
4404,"bubbles",4
4405,"buckin",4
4406,"buddah",4
4407,"bulletproof",4
4408,"busca",4
4409,"buss",4
4410,"busted",4
4411,"buzzin",4
4412,"c's",4
4413,"cabbage",4
4414,"cama",4
4415,"camino",4
4416,"cancel",4
4417,"canceled",4
4418,"candles",4
4419,"cardio",4
4420,"career",4
4421,"carolers",4
4422,"carter",4
4423,"carter's",4
4424,"cast",4
4425,"catching",4
4426,"cauliflower",4
4427,"cb",4
4428,"cc",4
4429,"celine",4
4430,"central",4
4431,"cents",4
4432,"certified",4
4433,"chalk",4
4434,"chased",4
4435,"chat",4
4436,"cheated",4
4437,"checking",4
4438,"cheek",4
4439,"childish",4
4440,"chinchilla",4
4441,"cho",4
4442,"choices",4
4443,"choir",4
4444,"choked",4
4445,"chorus",4
4446,"chosen",4
4447,"christmases",4
4448,"civic",4
4449,"claimin",4
4450,"clan",4
4451,"clapped",4
4452,"cleanin",4
4453,"clearport",4
4454,"cloth",4
4455,"coffin",4
4456,"coins",4
4457,"cole",4
4458,"colorado",4
4459,"comma",4
4460,"commercial",4
4461,"commission",4
4462,"common",4
4463,"comparisons",4
4464,"completely",4
4465,"compliments",4
4466,"composure",4
4467,"conquer",4
4468,"contesté",4
4469,"coping",4
4470,"corn",4
4471,"coucou",4
4472,"couples",4
4473,"crank",4
4474,"crashed",4
4475,"crave",4
4476,"cray",4
4477,"crazy's",4
4478,"credit",4
4479,"cualquier",4
4480,"cuento",4
4481,"cupid",4
4482,"curvin",4
4483,"curvy",4
4484,"cutter",4
4485,"dae",4
4486,"damaged",4
4487,"danger",4
4488,"dañó",4
4489,"dates",4
4490,"daughters",4
4491,"davis",4
4492,"dawned",4
4493,"december",4
4494,"dejamo",4
4495,"deje",4
4496,"deleted",4
4497,"delicate",4
4498,"delirious",4
4499,"dembow",4
4500,"dennin",4
4501,"dennis",4
4502,"depend",4
4503,"depending",4
4504,"depression",4
4505,"design",4
4506,"despite",4
4507,"destination",4
4508,"di",4
4509,"diablo",4
4510,"dije",4
4511,"dímelo",4
4512,"dine",4
4513,"dinner",4
4514,"diploma",4
4515,"dipped",4
4516,"dippin",4
4517,"disease",4
4518,"disguised",4
4519,"district",4
4520,"diviertas",4
4521,"dna",4
4522,"doggy",4
4523,"doja",4
4524,"doy",4
4525,"drankin",4
4526,"dro",4
4527,"dropout",4
4528,"drownin",4
4529,"drummer",4
4530,"dubs",4
4531,"due",4
4532,"dumber",4
4533,"dummie",4
4534,"duval",4
4535,"dwyane",4
4536,"eagle",4
4537,"eating",4
4538,"effort",4
4539,"emergency",4
4540,"emotional",4
4541,"emotionally",4
4542,"equity",4
4543,"escaped",4
4544,"estar",4
4545,"esto",4
4546,"eventually",4
4547,"evident",4
