"artist","track","track_title","line","lyric"
"Chris Brown ","No Guidance","No Guidance",1,"Before I die I'm tryna fuck you, baby"
"Chris Brown ","No Guidance","No Guidance",2,"Hopefully we don't have no babies"
"Chris Brown ","No Guidance","No Guidance",3,"I don't even wanna go back home"
"Chris Brown ","No Guidance","No Guidance",4,"Hopefully, I don't leave you on your own"
"Chris Brown ","No Guidance","No Guidance",5,"Ayy"
"Chris Brown ","No Guidance","No Guidance",6,"Trips that you plan for the next whole week"
"Chris Brown ","No Guidance","No Guidance",7,"Bands too long for a nigga so cheap"
"Chris Brown ","No Guidance","No Guidance",8,"And your flex OD, and your sex OD"
"Chris Brown ","No Guidance","No Guidance",9,"You got it, girl, you got it (Ayy)"
"Chris Brown ","No Guidance","No Guidance",10,"You got it, girl, you got (Yeah)"
"Chris Brown ","No Guidance","No Guidance",11,"Pretty lil' thing, you got a bag and now you wildin'You just took it off the lot, no mileage"
"Chris Brown ","No Guidance","No Guidance",12,"Way they hittin' you, the DM lookin' violent"
"Chris Brown ","No Guidance","No Guidance",13,"Talkin' wild, you come around and now they silent"
"Chris Brown ","No Guidance","No Guidance",14,"Flew the coop at 17, no guidance"
"Chris Brown ","No Guidance","No Guidance",15,"You be stayin' low but you know what the vibes is"
"Chris Brown ","No Guidance","No Guidance",16,"Ain't never got you nowhere bein' modest"
"Chris Brown ","No Guidance","No Guidance",17,"Poppin' shit but only 'cause you know you're poppin', yeah"
"Chris Brown ","No Guidance","No Guidance",18,"You got it, girl, you got it (Ayy)"
"Chris Brown ","No Guidance","No Guidance",19,"You got it, girl, you got it"
"Chris Brown ","No Guidance","No Guidance",20,"Lil' baby in her bag, in her Birkin"
"Chris Brown ","No Guidance","No Guidance",21,"No nine to five, put the work in"
"Chris Brown ","No Guidance","No Guidance",22,"Flaws and all, I love 'em all, to me, you're perfect"
"Chris Brown ","No Guidance","No Guidance",23,"Baby girl, you got it, girl, you got it, girl (Oh-oh)"
"Chris Brown ","No Guidance","No Guidance",24,"You got it, girl, you got it, girl (Ooh)"
"Chris Brown ","No Guidance","No Guidance",25,"I don't wanna play no games, play no games"
"Chris Brown ","No Guidance","No Guidance",26,"Fuck around, give you my last name (Oh)"
"Chris Brown ","No Guidance","No Guidance",27,"Know you tired of the same damn thing"
"Chris Brown ","No Guidance","No Guidance",28,"That's okay 'cause, baby, you"
"Chris Brown ","No Guidance","No Guidance",29,"You got it, girl, you got it (Oh, ooh, ayy)"
"Chris Brown ","No Guidance","No Guidance",30,"You got it, girl, you got it (Got it)"
"Chris Brown ","No Guidance","No Guidance",31,"You the only one I'm tryna make love to, pickin' and choosin'"
"Chris Brown ","No Guidance","No Guidance",32,"They ain't really love you, runnin' games, usin'"
"Chris Brown ","No Guidance","No Guidance",33,"All your stupid exes, they gon' call again"
"Chris Brown ","No Guidance","No Guidance",34,"Tell 'em that a real nigga steppin' in"
"Chris Brown ","No Guidance","No Guidance",35,"Don't let them niggas try you, test your patience"
"Chris Brown ","No Guidance","No Guidance",36,"Tell 'em that it's over, ain't no debatin' (Uh)"
"Chris Brown ","No Guidance","No Guidance",37,"All you need is me playin' on your playlist"
"Chris Brown ","No Guidance","No Guidance",38,"You ain't gotta be frustrated"
"Chris Brown ","No Guidance","No Guidance",39,"I don't wanna play no games, play no games (Oh)"
